retweets;favorites;text;mentions;hashtags
0;0;Apple tablet announcement coming January 26th? http://bit.ly/7lOwKQ (via @andremoura @ideiasnet );@andremoura @ideiasnet;
0;0;Google and Apple To Bring Tablets To Market This Year http://bit.ly/8QEq62;;
0;0;How many iPhones did Apple sell? http://bit.ly/6jg7JO;;
0;0;RT @Pr333ttyMUCH where's the nearest apple store to me? anyone? < victoria gardens .;@Pr333ttyMUCH;
0;0;Apple ? Apple IPod Nano | Computer Technology News: In 2001, when Apple launched the IPod to a stunned audience, who... http://bit.ly/6Y3tcc;;
0;0;RT @miguelbemfica : Apple tablet. Mais uma do Steve Jobs para resolver todos os problemas que não temos :-);@miguelbemfica;
0;0;Iklan: Jual Best Offer: 3Gs Apple iPhone, BlackBerry Bold 2 9700, Nokia N900, Canon EOS-1Ds Mark III ... http://bit.ly/5fhS3A;;
0;0;Watching Narnia 2. My sisters hands smell like apple cider. @dancecraze027;@dancecraze027;
0;0;January is a nice #geek month, #CES -a #Google revealing and an #Apple event.. Nice.. Means that Feb will get expensive.....;;#geek #CES #Google #Apple
0;0;Google Tablet: Google and HTC To Launch Apple iSlate Rival [RUMOR] - http://shar.es/aUYql;;
0;0;#apple Lenovo intros ThinkPad Edge, X100e ultraportable and other ThinkPad refreshes: It just wouldn't be a CES wi... http://bit.ly/8h1d9s;;#apple
0;0;#apple Lenovo ThinkPad Edge 13 review: Lenovo has always had a certain knack for producing some of the most reliab... http://bit.ly/8WWJqJ;;#apple
0;0;Apple pulls iPhone app that upset Hollywood: An app that features a less than entirely honest Hollywood wheeler.. http://bit.ly/925CiB;;
2;0;Apple tablet. Mais uma do Steve Jobs para resolver todos os problemas que não temos :-);;
0;0;RT @Schlanghole : Apple dominates social brand ranking. http://bit.ly/507tnt;@Schlanghole;
0;0;“IT'S THE WINE, NOT THE BOTTLE” OR WHY THE NEW APPLE iTABLET IS ... http://bit.ly/660UKo;;
0;0;@ethertwist Wtf is the Apple Store infected??? 3rd person with pink eye?;@ethertwist;
0;0;@pixelbase Some people just like Apple -bashing. I can't quite decide what I think about an Apple tablet. I guess there's only one way to see;@pixelbase;
0;0;Apple 's most significant products of the decade. http://is.gd/5Latq;;
0;0;waitin on this stew to be ready. im hungry. then going in for apple pie. yummm.;;
0;0;Apple iSlate specifications revealed - http://tinyurl.com/yhfjf2l;;
0;0;Iklan: Jual Best Offer: 3Gs Apple iPhone, BlackBerry Bold 2 9700, Nokia N900, Canon EOS-1Ds Mark III ... http://bit.ly/5q9r1d;;
0;0;Apple 's Eagerly Anticipated Tablet Computer Could Have Big Impact on Design World http://flne.ws/22686648 on Fluent News;;
0;0;RT @Alyssa_Milano : Apple pulls iPhone app that upset Hollywood http://bit.ly/5nbkPA (via @CNETNews );@Alyssa_Milano @CNETNews;
0;0;New update: Caramel Apple Bars http://healthy-snack.diet-recipe-club.info/Kids/Caramel-Apple-Bars/;;
0;0;Apple Iphone 3GS 32GB$350: We are wholesaler & distributors of all kinds of mobile phones and Digital Cameras, such... http://bit.ly/4UVHKY;;
0;0;Why is that ungrateful if you ask me for an apple ill bring you that not an orange! @zeekynayo;@zeekynayo;
0;0;Apple довела в суді, що від iPod НЕ глухнуть http://tinyurl.com/ylcqgzs;;
0;0;@cbiggins one of the most surprising is apple 's newsletters. you just cannot unsubscribe from them.;@cbiggins;
0;0;Apple lovers limited deal of the day: FREE $500 Apple Gift Card. Just enter your email to start. spon http://tinyurl.com/y9qg6p7;;
0;0;Web Personalities Stretch Their Apple Tablet Conjecture Legs - apple tablet - Gizmodo- Wait, more than 125... http://bit.ly/6XmIWa;;
0;0;Impact of ?iSlate? Could Rival iPhone|At the top of the design agenda for 2010 is Apple ?s tablet computer, which .. http://oohja.com/x4jS2;;
0;0;More reports claim Apple Tablet coming on January 26|Speculation continues to swirl that Apple has planned a .. http://oohja.com/x4jRY;;
0;0;just ordered the razer moray+ to replace my apple in ear headphones, think they will sound better;;
0;0;agora... vou enganar o itunes/ apple MUHAHAHA;;
0;0;Fuck you, Google, you used to be cool. Your Isaac Newton thing makes my entire session jittery. I just want to search, not see an apple fall;;
0;0;@RButler7 i love apple jacks too!:);@RButler7;
0;0;New year Bonanza Bonanza !!! APPLE IPHONE 3G S 32GB IN FACTORY BOX FULLY UNLOCKED.Buy 2 get 1: MOBILE PHONE SUPERMAR... http://bit.ly/8lq4N3;;
0;0;6 iPhone Internet Radio Apps For Every Type Of Listener Apple - http://tinyurl.com/yhzy8b2;;
1;0;RT @PhonedogAdriana Rumor: Are these the Apple tablet specs? http://bit.ly/6feWLj;@PhonedogAdriana;
0;0;JaMarcus Russell just dropped the football on the field like a non-caramel apple .;;
0;0;Just got one over on Apple and their pathetically short iPhone charger cable with a handy Belkin USB extension lead. Me 1 : Steve Jobs 0;;
0;0;Google Tablet: Google and HTC To Launch Apple iSlate Rival [RUMOR] http://bit.ly/8ZdA6K (via @twttimes );@twttimes;
0;0;amo essa meia calça! http://lookbook.nu/look/267077-Is-it-dark-already aliás amo qualquer meia calça eu e a @Gabe_ apple :D;@Gabe_;
