retweets;favorites;text;mentions;hashtags
2;0;... if you want to buy one in U.S. and bring it to Wind, that's ok. They're working on a deal with Google to officially offer it ^PN #cbcces;;#cbcces
0;0;Stop using google translator;;
0;0;[ Google news] ' Google ' beats 'blog' in Word of the Decade list - CNET http://tinyurl.com/y9restq;;
0;0;Totally lame that CBS news just reported that " Google " was the Tweet word of the year. TV News is such a joke.;;
0;0;"Tweet" is the Word of the Year and " Google " is the Word of the Decade! Good to know!;;
0;0;Google is the word of the decade - the 00s.;;
0;0;RT @Techmeme : Google Nexus One Carries $174.15 Materials Cost, iSuppli Teardown Reveals (iSuppli) http://bit.ly/69mOba;@Techmeme;
0;0;[ Google news] Afghanistan: only the first move in the grand chess game for control of ... - OpEdNews http://tinyurl.com/ye7f35p;;
0;0;Whoa - 360 Degree videos - Think Google Street View but with videos. --http://demos.immersivemedia.com/;;
0;0;best google mail tip you NEED to know, DO check this one out!: http://tinyurl.com/2y4ehr;;
0;0;eBay: Google Nexus One Unlocked HTC Phone GSM NEW NO RESERVE $385.0 http://tinyurl.com/yb8bao5;;
1;0;#SEO Tip:To speedup the indexing of #google for a new site try adding more quality links in high traffic sites #web;;#SEO #google #web
0;0;@DannyJonesFacts http://twitpic.com/xflaw - euvi tbm isso no google ! quando vii tive ataques intensos de risos! e um pouco de medo do jones;@DannyJonesFacts;
0;0;A défaut de racheter Admob, Apple récupère Quattro pour 275 millions de dollars: Il y a deux mois, Google avait ra... http://bit.ly/8RuHFu;;
0;0;@acliftonmyles at Google Docs you write in Blue text buddy. I will use black.;@acliftonmyles;
0;0;Is google maps or twitter downloading too much my data ? Gotta stop.;;
0;0;My parents knocking on my door and entering: "HAY SWEETIE CAN YOU GOOGLE SOMETHING...OH! YOU'RE NOT DRESSED. *backs out*" AH, my parents. :D;;
0;0;Primeiro twit do Google Phone. Estou gostando muito.;;
0;0;#imtiredof ppl always askin about "the secret menu" go google that shit! fckin jamba juice;;#imtiredof
0;1;「なにを」の第一変換候補として「ナニを」を持ってくる Google 日本語変換・・・。;;
