retweets;favorites;text;mentions;hashtags
0;0;Shoutz 2 my niggaz tht went hard 2 correct my spellin... microsoft word spell check niggaz lmao;;
0;0;@guardiantech bet Microsoft are already queuing up to get more bang with their BING if Google do pull out...;@guardiantech;
0;0;Agradeçamos à "eminência" das tecnologias de informação chamado José Magalhães! RT @FredericoLopes [Qd é que o estado larga a Microsoft ? ];@FredericoLopes;
0;0;Inconsistent Home and End Shortcut Keys: So, for Microsoft Word, these are your Home and End keyboard shortcuts. R... http://bit.ly/6xWdlT;;
0;0;Name:PC_VAN_RENÉ,OSVer: Microsoft Windows NT 6.0.6002 Service Pack 2,Procs:2,User:René;;
0;0;Inconsistent Home and End Shortcut Keys: So, for Microsoft Word, these are your Home and End keyboard shortcuts. R... http://bit.ly/7c5tG3;;
0;0;Inconsistent Home and End Shortcut Keys: So, for Microsoft Word, these are your Home and End keyboard shortcuts. R... http://bit.ly/6J5SS3;;
0;0;Inconsistent Home and End Shortcut Keys: So, for Microsoft Word, these are your Home and End keyboard shortcuts. R... http://bit.ly/6xWdlT;;
0;0;Pensado si bajar la aplicación de facebook para el celular desde la pag de microsoft , tengo miedo de hacer cagadas con el celu.;;
0;0;https://www.mturk.com/mturk/preview?groupId=0AHZZ3YM4G16VVZZYXQ0 Pack shapes (Please use Microsoft Internet Explorer for this HIT);;
0;0;5 tips to help keep your passwords secret - Microsoft Home - http://bit.ly/7H8cUw;;
0;0;New Blog post Microsoft and HP pump $250 million into cloud computing http://bit.ly/8CY5gn ...;;
0;0;Video Games: Alan Wake Releases Creepy New Images: Microsoft and Remedy Entertainment's Alan W.. http://bit.ly/4rcSmA;;
0;0;(William Regli) $6.00 Pack shapes (Please use Microsoft Internet Explorer for this HIT) #A3LT6CG396TOKV http://bit.ly/53rqd8;;#A3LT6CG396TOKV
0;0;i love microsoft 's kodu games program. teaches kids principles of being developers. seen in action with 12yo & very cool! http://is.gd/6dHc3;;
0;0;i love microsoft 's kodu games program. teaches kids principles of being developers. seen in action with 12yo & very cool! http://is.gd/6dHc3;;
0;0;" Microsoft urges Windows XP users to ditch old Flash version." How aboutt this? "Users urge Microsoft to build a good operating system." ha.;;
0;0;Microsoft could surprise us with an early launched of Windows Mobile 7: We have all heard rumors on how Windows 7 ... http://bit.ly/13rtYI;;
0;0;HP, Microsoft In $250 Million Cloud Computing Pact: The vendors promise unprecedented levels of collaboration to drive http://url4.eu/17lLi;;
