date,alert,happy,calm,compound
2010-01-01,0.030795,0.088192,0.881011,0.1355528
2010-01-02,0.035134,0.089344,0.875522,0.1249964
2010-01-03,0.039325,0.086111,0.874561,0.1022699
2010-01-04,0.028931,0.06747,0.903608,0.0862713
2010-01-05,0.039688,0.082819,0.877494,0.103855
2010-01-06,0.04409,0.07748,0.878432,0.0794251
2010-01-07,0.045205,0.081639,0.873159,0.0915329
2010-01-08,0.034473,0.07929,0.886218,0.0994337
2010-01-09,0.033387,0.092779,0.873836,0.1392743
2010-01-10,0.03574,0.092864,0.871403,0.1286181
2010-01-11,0.034786,0.08244,0.882776,0.1197232
2010-01-12,0.036469,0.079433,0.884089,0.1081827
2010-01-13,0.036635,0.079734,0.883627,0.1054033
2010-01-14,0.045715,0.063741,0.890546,0.0551887
2010-01-15,0.043509,0.075736,0.880758,0.073436
2010-01-16,0.076661,0.075338,0.848004,0.0157933
2010-01-17,0.044195,0.091511,0.864284,0.1139077
2010-01-18,0.023092,0.066552,0.910355,0.0972206
2010-01-19,0.030373,0.091849,0.877782,0.1423848
2010-01-20,0.039092,0.067724,0.893178,0.0575925
2010-01-21,0.036668,0.079934,0.883401,0.0954479
2010-01-22,0.036482,0.082885,0.880637,0.1056305
2010-01-23,0.040177,0.08622,0.872618,0.0991681
2010-01-24,0.048928,0.087305,0.863763,0.0870884
2010-01-25,0.047645,0.081115,0.87125,0.0810696
2010-01-26,0.038213,0.069562,0.892228,0.0706517
2010-01-27,0.038989,0.102255,0.858758,0.1232879
2010-01-28,0.035451,0.098053,0.866499,0.1367812
2010-01-29,0.046543,0.075084,0.878366,0.0678616
2010-01-30,0.045652,0.104209,0.850132,0.1302443
2010-01-31,0.062842,0.102085,0.835077,0.0824862
