date,alert,happy,calm,compound
2010-01-01,0.034101,0.100766,0.86514,0.1408033
2010-01-02,0.023409,0.09243,0.884161,0.120398
2010-01-03,0.031774,0.069783,0.898446,0.0767577
2010-01-04,0.029891,0.090212,0.879905,0.1215019
2010-01-05,0.02608,0.065345,0.908578,0.0828164
2010-01-06,0.048905,0.070702,0.880395,0.0506533
2010-01-07,0.039303,0.076957,0.883736,0.0866585
2010-01-08,0.037349,0.092994,0.869661,0.1267983
2010-01-09,0.030365,0.079551,0.890088,0.1078812
2010-01-10,0.041947,0.093123,0.864929,0.1102276
2010-01-11,0.037886,0.082866,0.879241,0.1059477
2010-01-12,0.081013,0.077056,0.841929,1.17e-05
2010-01-13,0.052539,0.068199,0.879255,0.0290139
2010-01-14,0.053094,0.071445,0.875466,0.041483
2010-01-15,0.071629,0.075271,0.853108,0.0126704
2010-01-16,0.046733,0.082946,0.87031,0.0810946
2010-01-17,0.059645,0.088578,0.851777,0.0597393
2010-01-18,0.059028,0.076083,0.864892,0.0514862
2010-01-19,0.0566,0.075963,0.86744,0.0361543
2010-01-20,0.060501,0.060828,0.878662,0.015864
2010-01-21,0.050466,0.075737,0.873807,0.055156
2010-01-22,0.035501,0.068298,0.896194,0.0767521
2010-01-23,0.062065,0.068015,0.868927,0.0158207
2010-01-24,0.068616,0.069488,0.86189,0.013813
2010-01-25,0.054278,0.073553,0.872166,0.0490577
2010-01-26,0.034404,0.084349,0.881241,0.1104256
2010-01-27,0.042855,0.068485,0.888653,0.0599147
2010-01-28,0.034172,0.079993,0.884843,0.1004744
2010-01-29,0.090374,0.10189,0.807732,-0.0107474
2010-01-30,0.038871,0.080179,0.880949,0.0919212
2010-01-31,0.046248,0.074748,0.879003,0.0513105
2010-02-01,0.046006,0.067495,0.886494,0.0533876
2010-02-02,0.034702,0.074431,0.890861,0.0882713
2010-02-03,0.038523,0.074412,0.887064,0.0936845
2010-02-04,0.037783,0.077429,0.884794,0.0957975
2010-02-05,0.035431,0.077389,0.887175,0.0882292
2010-02-06,0.032676,0.123515,0.843817,0.200006
2010-02-07,0.043633,0.100801,0.855583,0.1474407
2010-02-08,0.03058,0.077017,0.892399,0.1040042
2010-02-09,0.032692,0.061043,0.906261,0.0619277
2010-02-10,0.046962,0.078383,0.874654,0.0709633
2010-02-11,0.0422,0.068311,0.889491,0.0653936
2010-02-12,0.042291,0.073008,0.884706,0.0711967
2010-02-13,0.033993,0.077717,0.88829,0.0849474
2010-02-14,0.050355,0.0745,0.875153,0.0643818
2010-02-15,0.046341,0.066195,0.887467,0.0414347
2010-02-16,0.036646,0.066304,0.897052,0.0657086
2010-02-17,0.035931,0.067917,0.894145,0.0762972
2010-02-18,0.038399,0.078368,0.883239,0.0981107
2010-02-19,0.039358,0.085415,0.875225,0.0967604
2010-02-20,0.106821,0.05099,0.842191,-0.0719008
2010-02-21,0.045162,0.074192,0.880647,0.0641974
2010-02-22,0.045774,0.081121,0.873108,0.1093304
2010-02-23,0.038943,0.069918,0.891139,0.0700029
2010-02-24,0.053525,0.07527,0.870206,0.0501684
2010-02-25,0.040985,0.082957,0.87606,0.0946447
2010-02-26,0.041357,0.073568,0.885072,0.0695906
2010-02-27,0.035683,0.069386,0.894932,0.0789789
2010-02-28,0.051399,0.063846,0.884758,0.0330585
2010-03-01,0.031354,0.07908,0.88958,0.1048177
2010-03-02,0.034378,0.067922,0.897699,0.0704993
2010-03-03,0.02482,0.091553,0.883627,0.1217856
2010-03-04,0.040687,0.079502,0.879814,0.0933069
2010-03-05,0.026666,0.049738,0.9236,0.0507445
2010-03-06,0.042345,0.075447,0.882211,0.0732094
2010-03-07,0.045535,0.076209,0.877261,0.0741353
2010-03-08,0.040396,0.056265,0.90334,0.0472411
2010-03-09,0.044514,0.067145,0.888339,0.0517499
2010-03-10,0.019946,0.147752,0.832303,0.2522731
2010-03-11,0.032157,0.048545,0.919294,0.0329074
2010-03-12,0.044243,0.075462,0.880287,0.0723713
2010-03-13,0.055416,0.065959,0.878621,0.0250068
2010-03-14,0.040144,0.077517,0.882341,0.0740087
2010-03-15,0.035588,0.070251,0.894158,0.0850533
2010-03-16,0.031652,0.072678,0.895676,0.0865209
2010-03-17,0.026612,0.078907,0.894488,0.1100441
2010-03-18,0.039915,0.070254,0.889831,0.0696601
2010-03-19,0.029664,0.06024,0.910099,0.0671989
2010-03-20,0.040449,0.059966,0.899588,0.0472666
2010-03-21,0.058981,0.060739,0.880278,0.0177678
2010-03-22,0.041995,0.040734,0.917273,0.0034013
2010-03-23,0.039251,0.062047,0.898705,0.0528775
2010-03-24,0.04502,0.073226,0.881754,0.0686785
2010-03-25,0.040406,0.069205,0.890396,0.0820545
2010-03-26,0.046316,0.075534,0.87714,0.0760499
2010-03-27,0.04071,0.079515,0.879779,0.0715172
2010-03-28,0.033335,0.107591,0.859077,0.1550544
2010-03-29,0.036909,0.051101,0.91199,0.0270715
2010-03-30,0.051077,0.083968,0.864965,0.0733763
2010-03-31,0.072566,0.082038,0.84539,0.0214616
2010-04-01,0.060222,0.07325,0.866532,0.0219402
2010-04-02,0.032548,0.057068,0.910391,0.0619126
2010-04-03,0.045435,0.076501,0.877068,0.0576458
2010-04-04,0.037994,0.072995,0.889013,0.0814284
2010-04-05,0.033423,0.060849,0.90573,0.0547827
2010-04-06,0.046322,0.071996,0.880698,0.0541643
2010-04-07,0.04594,0.081729,0.872326,0.0772401
2010-04-08,0.049577,0.064378,0.886038,0.0436007
2010-04-09,0.093554,0.04106,0.865386,-0.1106978
2010-04-10,0.03383,0.07375,0.892424,0.080342
2010-04-11,0.044044,0.072253,0.883707,0.070326
2010-04-12,0.05682,0.075406,0.867781,0.0537901
2010-04-13,0.041183,0.072252,0.885563,0.0780141
2010-04-14,0.034784,0.072049,0.893173,0.0852459
2010-04-15,0.037987,0.092448,0.869567,0.1041492
2010-04-16,0.040917,0.083197,0.875892,0.0959964
2010-04-17,0.043965,0.0942,0.861833,0.1234687
2010-04-18,0.038634,0.080444,0.879924,0.0911325
2010-04-19,0.045164,0.070163,0.88468,0.0625627
2010-04-20,0.061703,0.041118,0.897186,-0.0358505
2010-04-21,0.042797,0.061834,0.895366,0.0472139
2010-04-22,0.028784,0.062021,0.909192,0.0679285
2010-04-23,0.036437,0.076373,0.887188,0.0955172
2010-04-24,0.041504,0.080115,0.878384,0.0814504
2010-04-25,0.042797,0.06782,0.889384,0.0592832
2010-04-26,0.039854,0.073208,0.886946,0.0845286
2010-04-27,0.059264,0.079555,0.861194,0.0427074
2010-04-28,0.034928,0.063585,0.90149,0.0611256
2010-04-29,0.03666,0.069704,0.892636,0.0750905
2010-04-30,0.039593,0.061386,0.898028,0.0525283
2010-05-01,0.035556,0.075799,0.888645,0.0890189
2010-05-02,0.040692,0.065008,0.894301,0.0506424
2010-05-03,0.021799,0.056258,0.921949,0.0723722
2010-05-04,0.020596,0.055944,0.92346,0.0949074
2010-05-05,0.03379,0.061353,0.904854,0.0618996
2010-05-06,0.040807,0.061033,0.898163,0.0535723
2010-05-07,0.034036,0.06387,0.902095,0.0703348
2010-05-08,0.041254,0.079364,0.879383,0.0897839
2010-05-09,0.041313,0.068731,0.889956,0.068798
2010-05-10,0.037314,0.055333,0.907351,0.0408396
2010-05-11,0.030459,0.067175,0.90237,0.0877621
2010-05-12,0.038479,0.069559,0.891957,0.0721526
2010-05-13,0.027325,0.084556,0.888118,0.1318014
2010-05-14,0.05736,0.057485,0.885164,0.010096
2010-05-15,0.040976,0.057242,0.901782,0.04715
2010-05-16,0.037343,0.064811,0.897838,0.0620088
2010-05-17,0.044362,0.067458,0.888187,0.0509487
2010-05-18,0.032622,0.066052,0.901325,0.0751492
2010-05-19,0.031844,0.054433,0.913725,0.0534672
2010-05-20,0.021501,0.052128,0.926377,0.0589174
2010-05-21,0.041155,0.111633,0.847209,0.1349657
2010-05-22,0.044917,0.095535,0.859545,0.1107228
2010-05-23,0.04175,0.077615,0.880641,0.0883547
2010-05-24,0.040446,0.075999,0.883555,0.0795637
2010-05-25,0.041336,0.069172,0.889488,0.0712663
2010-05-26,0.042877,0.07589,0.881211,0.0963228
2010-05-27,0.033312,0.064306,0.902386,0.0717208
2010-05-28,0.039018,0.069826,0.891163,0.0680647
2010-05-29,0.036614,0.070268,0.892118,0.0815071
2010-05-30,0.039883,0.068547,0.891564,0.06318
2010-05-31,0.050243,0.082042,0.867712,0.0561478
2010-06-01,0.039158,0.058383,0.902458,0.0450279
