date,alert,happy,calm,compound
2010-01-01,0.032099,0.075413,0.892494,0.097049
2010-01-02,0.03361,0.073515,0.892871,0.0941852
2010-01-03,0.028349,0.065514,0.906138,0.0806938
2010-01-04,0.027782,0.082579,0.889631,0.1145598
2010-01-05,0.038717,0.093291,0.867993,0.1180573
2010-01-06,0.034416,0.06978,0.895809,0.059583
2010-01-07,0.035993,0.066676,0.897331,0.0745892
2010-01-08,0.027534,0.068166,0.904313,0.085937
2010-01-09,0.031494,0.068515,0.899991,0.0854606
2010-01-10,0.03875,0.070241,0.89101,0.064972
2010-01-11,0.048304,0.066996,0.884691,0.0398873
2010-01-12,0.044173,0.099381,0.856443,0.1128103
2010-01-13,0.025794,0.066227,0.907976,0.0945802
2010-01-14,0.062456,0.0666,0.870939,0.0064554
2010-01-15,0.055642,0.077756,0.866612,0.05399
2010-01-16,0.0476,0.084847,0.867551,0.0892627
2010-01-17,0.056746,0.060145,0.883106,0.0038159
2010-01-18,0.050351,0.061184,0.888455,0.0340079
2010-01-19,0.033758,0.072445,0.89379,0.1073287
2010-01-20,0.039588,0.060712,0.899698,0.0465244
2010-01-21,0.068338,0.094389,0.837277,0.0725389
2010-01-22,0.039312,0.076083,0.884601,0.0892827
2010-01-23,0.034116,0.091477,0.874408,0.1213389
2010-01-24,0.044663,0.095152,0.860192,0.0886168
2010-01-25,0.036733,0.074477,0.888785,0.0897487
2010-01-26,0.036643,0.063329,0.900021,0.0530058
2010-01-27,0.041451,0.082723,0.875835,0.0860465
2010-01-28,0.022624,0.134875,0.841509,0.2415725
2010-01-29,0.040664,0.074176,0.885156,0.0791361
2010-01-30,0.047912,0.081716,0.870378,0.0749417
2010-01-31,0.042395,0.087625,0.869986,0.1000511
