retweets;favorites;text;mentions;hashtags
0;0;Really wish I would've been training for Apple earlier but January is better than not training at all;;
0;0;Lista de promoções da Black Friday em produtos Apple http:// blogdoiphone.com/2015/11/lista- de-promocoes-da-black-friday-em-produtos-apple/ …;;
0;0;@Apple _ku0304 や、待ってそれってどんな効果あるの、、、;@Apple;
64;118;Last 4 times WSU has been ranked in Apple Cup, they've lost. All 4. 45-10 UW. Final.;;
35;21;#Apple eliminaría el conector de auriculares en el #iPhone 7 http:// hablandodemanzanas.com/noticias/apple -eliminaria-el-conector-de-auriculares-en-el-iphone-7 … pic.twitter.com/mBcpZ7B0b0;;#Apple #iPhone
0;0;@akurjata click on the playlist video to know how to add custom cover art to your playlist in apple music. http://www. apple.com/ca/music/guide d-tours/ …;@akurjata;
21;40;If you feel tempted to flirt with a man out of wedlock, remember that a warm apple cider and a hot glue gun can keep a gal busy for hours!;;
0;0;#dessert #thanksgiving // pumpkin pie from @gemsandhems & apple rosettes by me http:// ift.tt/1MJmwVO pic.twitter.com/RTnpgFuTGb;@gemsandhems;#dessert #thanksgiving
441;1020;Congrats to @UW_Football on another Apple Cup victory in a dominating blowout against the Cougs! #GoDaWgs;@UW_Football;#GoDaWgs
0;0;I've discovered that I can make some pretty amazing homemade apple pie.;;
0;0;Apple iPad Pro Claims Its First Victim As It Destroys Google's Flagship - Forbes http://www. forbes.com/sites/ianmorri s/2015/11/27/apple-ipad-pro-claims-its-first-victim-as-it-destroys-googles-flagship/ …;;
0;0;Apple Iphone 16Gb – The Latest Gadget With User Friendly Features http:// googling.co/index.php/2015 /11/27/apple-iphone-16gb-the-latest-gadget-with-user-friendly-features/ … pic.twitter.com/kbYG2UNTb5;;
0;1;Bow down! A happy #Apple Cup for Dawg fans. #UWHuskies;;#Apple #UWHuskies
441;1020;Congrats to @UW_Football on another Apple Cup victory in a dominating blowout against the Cougs! #GoDaWgs;@UW_Football;#GoDaWgs
0;0;Apple Ipod Shuffle Review – Things To Consider About Apple ’s Famous Music Player http:// googling.co/index.php/2015 /11/27/apple-ipod-shuffle-review-things-to-consider-about-apples-famous-music-player-4/ … pic.twitter.com/GAPZE55uuE;;
0;0;@Apple _7Princess こんな感じなん？;@Apple;
1;0;Eguinha Pocotó - Apple Store Palo Alto pic.twitter.com/0ZOKvcyf84;;
0;0;Washington is on its way to a lopsided win in the Apple Cup, which will give the Pac-12 a record 10 bowl-eligible... http:// es.pn/1Xx4itu;;
0;0;@beamiller hey bea I'm charging my phones at the Apple Store pic.twitter.com/Pc4X0PTOgA;@beamiller;
0;4;House Party came on the radio driving home from Apple Hill and my Uncle turns it up hecka loud and I'm just like yes we're on the same page;;
0;10;Walked in to buy an Apple TV, walked out with a 4K TV. #BlackFridayDust;;#BlackFridayDust
