retweets;favorites;text;mentions;hashtags
0;0;I liked a @YouTube video http:// youtu.be/74nO1x9xJeU?a Gratuit Microsoft Points Générateur 2013 Mise à jour hebdomadaire;@YouTube;
0;0;RT @PremedPrincess_ RT @misslinalady: I wish Microsoft Word had a 'science' setting so my outlines wouldn't have so many 'misspelled' words;@PremedPrincess_ @misslinalady;
0;1;Call me an #Xbot if you want but I already put in my request to have the 21st off so I can view the @Microsoft press event.! I love #Xbox !;@Microsoft;#Xbot #Xbox
1;0;May Patch Tuesday Coming Up - Microsoft Still Not Sure If Latest 0-day Fix Will Make The Cut http:// ciso.co/448315 #infosec;;#infosec
0;0;@EPMSolution @cfiessinger they really need to re-read the actual info from Microsoft & put the correct by end of May date in there;@EPMSolution @cfiessinger;
0;0;I liked a @YouTube video from @rawkinaptech http:// youtu.be/0-U4Yr9UNBo?a Don't Fight - Microsoft New Commercial Mocks Apple And Samsung;@YouTube @rawkinaptech;
0;0;YugaTech is giving away a Microsoft Surface Pro worth Php50k here: http://www. yugatech.com/contests/givea way-microsoft-surface-pro/ …;;
0;0;Microsoft to web developers: "For everything you've done, thank you" http:// feedproxy.google.com/~r/neowin-main /~3/sIYiVnwm90k/story01.htm …;;
0;0;Microsoft Word nunca vai entender que o meu nome não é um erro de ortografia! - foreveraloone: http:// tmblr.co/ZulKLwkmZLkd;;
0;0;El Office 365 de Microsoft estará disponible para clientes de ONO Pymes #PYMEs #empresas http:// bit.ly/1390lik ";;#PYMEs #empresas
0;0;Microsoft Rilis Video 'Anti-Google' Terbaru: Microsoft kembali melanjutkan kampanye 'anti-Google' mereka den... http:// bit.ly/10E5y5T;;
0;0;#DawnTweets Microsoft Rilis Video 'Anti-Google' Terbaru http:// q.gs/4FdDn via @Inilahdotcom;@Inilahdotcom;#DawnTweets
0;0;Microsoft Rilis Video 'Anti-Google' Terbaru http:// bit.ly/10E5y5T;;
0;0;Microsoft Rilis Video 'Anti-Google' Terbaru http:// bit.ly/13OvtGB;;
0;0;Microsoft Rilis Video 'Anti-Google' Terbaru http:// bit.ly/13OvtGB #jfb #teamfollback;;#jfb #teamfollback
0;0;●事典・各種試験対策 › コンピュータ・IT● Microsoft Office Specialist攻略問題集 Microsoft Excel 2010 （CD-ROMつき) (MOS( Microsoft Office speci.. http:// amzn.to/16gkF5Y;;
0;0;- Free Microsoft Points Are HERE! Try us out today and get your free MS points guaranteed! http:// shar.es/lPDjx vía @sharethis;@sharethis;
0;0;We have a Super Special Xbox hour for you to enjoy! We talk about all those rumors about @Microsoft 's next console! http:// bit.ly/10qthAz;@Microsoft;
0;2;It looks like Adobe is going the way of Microsoft and killing off ownership of their software... Interest. I'll... http:// fb.me/2pwVFk8ZS;;
0;1;Kind of cool and strangely eerie to see someone with this title folllow you on Twiitter: "Chief Security Officer at Microsoft ";;
0;0;Microsoft のCFO、「Windows 8でiTunesは当面期待できない」と語る http:// dlvr.it/3MFFqf;;
0;0;Alguien que tenga Microsoft Office para mac! ):;;
0;0;MUST READ "" "" Laloo sent his Bio Data 2 apply 4 a post in Microsoft USA. Few days l8r he got this reply: Dear... http:// fb.me/GPLvTQEV;;
0;0;VIDEOS: Microsoft takes on Google Docs - AfterDawn - http:// po.st/K805TE . >> Companies have BILE these days @martingicheru @RasKimzy;@martingicheru @RasKimzy;
0;0;Microsoft , по неофициальным данным, разрабатывает телевизионную приставку.;;
0;0;I KNEW @Emerge_Mag 2012 was on to something. Look! '90s Babies: You were a year ahead of Microsoft : http://www. youtube.com/watch?v=qkM6RJ f15cg …;@Emerge_Mag;
0;0;. @FakeLauraLouise Tiny Buzz is a fictional robot based on a howler monkey that I designed in Microsoft PowerPoint, so I'm very sorry to ...;@FakeLauraLouise;
