"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2017","2,579.36","2,583.21","2,588.40","2,574.92","0","0.16"
"Oct 31, 2017","2,575.26","2,575.99","2,578.29","2,572.15","0","0.09"
"Oct 30, 2017","2,572.83","2,577.75","2,580.03","2,568.25","0","-0.32"
"Oct 27, 2017","2,581.07","2,570.26","2,582.98","2,565.94","0","0.81"
"Oct 26, 2017","2,560.40","2,560.08","2,567.07","2,559.80","0","0.13"
"Oct 25, 2017","2,557.15","2,566.52","2,567.40","2,544.00","0","-0.47"
"Oct 24, 2017","2,569.13","2,568.66","2,572.18","2,565.58","0","0.16"
"Oct 23, 2017","2,564.98","2,578.08","2,578.29","2,564.33","0","-0.40"
"Oct 20, 2017","2,575.21","2,567.56","2,575.44","2,567.56","0","0.51"
"Oct 19, 2017","2,562.10","2,553.39","2,562.36","2,547.92","0","0.03"
"Oct 18, 2017","2,561.26","2,562.87","2,564.11","2,559.67","0","0.07"
"Oct 17, 2017","2,559.36","2,557.17","2,559.71","2,554.69","0","0.07"
"Oct 16, 2017","2,557.64","2,555.57","2,559.47","2,552.64","0","0.18"
"Oct 13, 2017","2,553.17","2,555.66","2,557.65","2,552.09","0","0.09"
"Oct 12, 2017","2,550.93","2,552.88","2,555.33","2,548.31","0","-0.17"
"Oct 11, 2017","2,555.24","2,550.62","2,555.24","2,547.95","0","0.18"
"Oct 10, 2017","2,550.64","2,549.99","2,555.23","2,544.86","0","0.23"
"Oct 09, 2017","2,544.73","2,551.39","2,551.82","2,541.60","0","-0.18"
"Oct 06, 2017","2,549.33","2,547.44","2,549.41","2,543.79","0","-0.11"
"Oct 05, 2017","2,552.07","2,540.86","2,552.51","2,540.02","0","0.56"
"Oct 04, 2017","2,537.74","2,533.48","2,540.53","2,531.80","0","0.12"
"Oct 03, 2017","2,534.58","2,530.34","2,535.13","2,528.85","0","0.22"
"Oct 02, 2017","2,529.12","2,521.20","2,529.23","2,520.40","0","0.39"
"Sep 29, 2017","2,519.36","2,509.96","2,519.44","2,507.99","0","0.37"
"Sep 28, 2017","2,510.06","2,503.41","2,510.81","2,502.93","0","0.12"
"Sep 27, 2017","2,507.04","2,503.30","2,511.75","2,495.91","0","0.41"
"Sep 26, 2017","2,496.84","2,501.04","2,503.51","2,495.12","0","0.01"
"Sep 25, 2017","2,496.66","2,499.39","2,502.54","2,488.03","0","-0.22"
"Sep 22, 2017","2,502.22","2,497.26","2,503.47","2,496.54","0","0.06"
"Sep 21, 2017","2,500.60","2,507.16","2,507.16","2,499.00","0","-0.30"
"Sep 20, 2017","2,508.24","2,506.84","2,508.85","2,496.67","0","0.06"
"Sep 19, 2017","2,506.65","2,506.29","2,507.84","2,503.19","0","0.11"
"Sep 18, 2017","2,503.87","2,502.51","2,508.32","2,499.92","0","0.15"
"Sep 15, 2017","2,500.23","2,495.67","2,500.23","2,493.16","0","0.18"
"Sep 14, 2017","2,495.62","2,494.56","2,498.43","2,491.35","0","-0.11"
"Sep 13, 2017","2,498.37","2,493.89","2,498.37","2,492.14","0","0.08"
"Sep 12, 2017","2,496.48","2,491.94","2,496.77","2,490.37","0","0.34"
"Sep 11, 2017","2,488.11","2,474.52","2,488.95","2,474.52","0","1.08"
"Sep 08, 2017","2,461.43","2,462.25","2,467.11","2,459.40","0","-0.15"
"Sep 07, 2017","2,465.10","2,468.06","2,468.62","2,460.29","0","-0.02"
"Sep 06, 2017","2,465.54","2,463.83","2,469.64","2,459.20","0","0.31"
"Sep 05, 2017","2,457.85","2,470.35","2,471.97","2,446.55","0","-0.76"
"Sep 01, 2017","2,476.55","2,474.42","2,480.38","2,473.85","0","0.20"
"Aug 31, 2017","2,471.65","2,462.65","2,475.01","2,462.65","0","0.57"
"Aug 30, 2017","2,457.59","2,446.06","2,460.31","2,443.77","0","0.46"
"Aug 29, 2017","2,446.30","2,431.94","2,449.19","2,428.20","0","0.08"
"Aug 28, 2017","2,444.24","2,447.35","2,449.12","2,439.03","0","0.05"
